Point,Corner,Lx,vb,vd,vg,Pass/Fail,capbd,capbs,cdd,cgb,cgd,cgdo,cgg,cgs,cgso,css,gds,gm,gmbs,id,vth,vb,vd,vg,nid,sfl,l
76,nom,350e-9,0,200e-3,1.9,,-8.065e-15,-9.767e-15,13.3e-15,-562.1e-18,-3.824e-15,957.2e-18,8.537e-15,-4.152e-15,957.2e-18,14.95e-15,418.3e-6,65.5e-6,18.28e-6,-91.89e-6,-726e-3,-0,-200e-3,-1.9,7.595e-24,951.1e-21,350e-9
77,nom,350e-9,0,200e-3,2,,-8.066e-15,-9.763e-15,13.35e-15,-560.5e-18,-3.853e-15,957.2e-18,8.542e-15,-4.129e-15,957.2e-18,14.96e-15,451.5e-6,62.1e-6,17.76e-6,-98.19e-6,-726.1e-3,-0,-200e-3,-2,8.065e-24,1.08e-18,350e-9
78,nom,350e-9,0,200e-3,2.1,,-8.067e-15,-9.761e-15,13.39e-15,-559.3e-18,-3.877e-15,957.2e-18,8.546e-15,-4.11e-15,957.2e-18,14.97e-15,483e-6,58.82e-6,17.25e-6,-104.2e-6,-726.1e-3,-0,-200e-3,-2.1,8.51e-24,1.211e-18,350e-9
79,nom,350e-9,0,200e-3,2.2,,-8.068e-15,-9.758e-15,13.43e-15,-558.3e-18,-3.898e-15,957.2e-18,8.549e-15,-4.093e-15,957.2e-18,14.98e-15,513e-6,55.68e-6,16.75e-6,-109.8e-6,-726.1e-3,-0,-200e-3,-2.2,8.931e-24,1.343e-18,350e-9
80,nom,350e-9,0,200e-3,2.3,,-8.069e-15,-9.756e-15,13.46e-15,-557.5e-18,-3.916e-15,957.2e-18,8.551e-15,-4.078e-15,957.3e-18,14.99e-15,541.4e-6,52.67e-6,16.27e-6,-115.1e-6,-726.1e-3,-0,-200e-3,-2.3,9.329e-24,1.475e-18,350e-9
81,nom,350e-9,0,200e-3,2.4,,-8.069e-15,-9.754e-15,13.48e-15,-556.8e-18,-3.931e-15,957.2e-18,8.553e-15,-4.065e-15,957.3e-18,14.99e-15,568.3e-6,49.79e-6,15.79e-6,-120.2e-6,-726.1e-3,-0,-200e-3,-2.4,9.705e-24,1.607e-18,350e-9
82,nom,350e-9,0,200e-3,2.5,,-8.07e-15,-9.753e-15,13.5e-15,-556.2e-18,-3.944e-15,957.3e-18,8.555e-15,-4.054e-15,957.3e-18,15e-15,593.8e-6,47.03e-6,15.33e-6,-125e-6,-726.2e-3,-0,-200e-3,-2.5,10.06e-24,1.737e-18,350e-9
83,nom,350e-9,0,200e-3,2.6,,-8.07e-15,-9.751e-15,13.52e-15,-555.7e-18,-3.956e-15,957.3e-18,8.556e-15,-4.044e-15,957.3e-18,15.01e-15,618e-6,44.39e-6,14.88e-6,-129.5e-6,-726.2e-3,-0,-200e-3,-2.6,10.39e-24,1.865e-18,350e-9
84,nom,350e-9,0,200e-3,2.7,,-8.07e-15,-9.75e-15,13.54e-15,-555.2e-18,-3.967e-15,957.3e-18,8.557e-15,-4.035e-15,957.3e-18,15.01e-15,640.8e-6,41.87e-6,14.44e-6,-133.7e-6,-726.2e-3,-0,-200e-3,-2.7,10.71e-24,1.992e-18,350e-9
85,nom,350e-9,0,300e-3,0,,-7.112e-15,-8.125e-15,7.866e-15,-2.476e-15,-754.8e-18,754.8e-18,4.121e-15,-890.5e-18,890.3e-18,9.015e-15,3.632e-15,94.42e-15,25.48e-15,-3.378e-15,-723.3e-3,-0,-300e-3,-0,1.365e-33,7.453e-39,350e-9
