Point,Corner,Lx,vb,vd,vg,Pass/Fail,capbd,capbs,cdd,cgb,cgd,cgdo,cgg,cgs,cgso,css,gds,gm,gmbs,id,vth,vb,vd,vg,nid,sfl,l
47,nom,350e-9,0,100e-3,1.8,,-5.776e-15,-5.619e-15,12.6e-15,-45.75e-18,-4.185e-15,1.212e-15,8.837e-15,-4.607e-15,1.212e-15,12.67e-15,1.711e-3,113.8e-6,37.47e-6,180.2e-6,564.9e-3,0,100e-3,1.8,28.07e-24,5.606e-18,350e-9
48,nom,350e-9,0,100e-3,1.9,,-5.777e-15,-5.612e-15,12.64e-15,-44.79e-18,-4.203e-15,1.212e-15,8.838e-15,-4.591e-15,1.212e-15,12.68e-15,1.825e-3,107.5e-6,36.4e-6,191e-6,564.9e-3,0,100e-3,1.9,29.69e-24,5.537e-18,350e-9
49,nom,350e-9,0,100e-3,2,,-5.777e-15,-5.606e-15,12.67e-15,-43.98e-18,-4.218e-15,1.212e-15,8.839e-15,-4.577e-15,1.212e-15,12.69e-15,1.934e-3,101.5e-6,35.37e-6,201.2e-6,564.9e-3,0,100e-3,2,31.22e-24,5.417e-18,350e-9
50,nom,350e-9,0,100e-3,2.1,,-5.778e-15,-5.601e-15,12.7e-15,-43.29e-18,-4.231e-15,1.212e-15,8.84e-15,-4.566e-15,1.212e-15,12.7e-15,2.038e-3,95.75e-6,34.38e-6,210.8e-6,565e-3,0,100e-3,2.1,32.66e-24,5.254e-18,350e-9
51,nom,350e-9,0,100e-3,2.2,,-5.778e-15,-5.597e-15,12.72e-15,-42.69e-18,-4.242e-15,1.212e-15,8.84e-15,-4.555e-15,1.212e-15,12.71e-15,2.135e-3,90.28e-6,33.42e-6,219.8e-6,565e-3,0,100e-3,2.2,34.01e-24,5.054e-18,350e-9
52,nom,350e-9,0,100e-3,2.3,,-5.778e-15,-5.593e-15,12.75e-15,-42.16e-18,-4.252e-15,1.212e-15,8.84e-15,-4.546e-15,1.212e-15,12.72e-15,2.227e-3,85.06e-6,32.5e-6,228.3e-6,565e-3,0,100e-3,2.3,35.29e-24,4.823e-18,350e-9
53,nom,350e-9,0,100e-3,2.4,,-5.778e-15,-5.589e-15,12.76e-15,-41.7e-18,-4.26e-15,1.212e-15,8.84e-15,-4.538e-15,1.212e-15,12.72e-15,2.315e-3,80.09e-6,31.62e-6,236.3e-6,565e-3,0,100e-3,2.4,36.49e-24,4.566e-18,350e-9
54,nom,350e-9,0,100e-3,2.5,,-5.778e-15,-5.586e-15,12.78e-15,-41.29e-18,-4.268e-15,1.212e-15,8.84e-15,-4.531e-15,1.212e-15,12.73e-15,2.397e-3,75.36e-6,30.76e-6,243.8e-6,565e-3,0,100e-3,2.5,37.62e-24,4.287e-18,350e-9
55,nom,350e-9,0,100e-3,2.6,,-5.778e-15,-5.584e-15,12.8e-15,-40.93e-18,-4.275e-15,1.212e-15,8.84e-15,-4.525e-15,1.212e-15,12.73e-15,2.475e-3,70.86e-6,29.94e-6,250.9e-6,565e-3,0,100e-3,2.6,38.68e-24,3.99e-18,350e-9
56,nom,350e-9,0,100e-3,2.7,,-5.778e-15,-5.581e-15,12.81e-15,-40.6e-18,-4.281e-15,1.212e-15,8.84e-15,-4.519e-15,1.212e-15,12.73e-15,2.548e-3,66.57e-6,29.15e-6,257.5e-6,565e-3,0,100e-3,2.7,39.68e-24,3.68e-18,350e-9
57,nom,350e-9,0,200e-3,0,,-4.854e-15,-5.245e-15,5.874e-15,-1.88e-15,-1.021e-15,1.021e-15,4.033e-15,-1.132e-15,1.132e-15,6.377e-15,58.5e-15,4.37e-12,1.296e-12,140.3e-15,564.5e-3,0,200e-3,0,63.26e-33,297.4e-36,350e-9
58,nom,350e-9,0,200e-3,100e-3,,-4.854e-15,-5.245e-15,5.932e-15,-1.768e-15,-1.078e-15,1.078e-15,4.016e-15,-1.17e-15,1.17e-15,6.415e-15,1.312e-12,98.25e-12,28.48e-12,3.157e-12,564.5e-3,0,200e-3,100e-3,1.415e-30,150.6e-33,350e-9
59,nom,350e-9,0,200e-3,200e-3,,-4.854e-15,-5.245e-15,5.986e-15,-1.674e-15,-1.132e-15,1.132e-15,3.997e-15,-1.191e-15,1.191e-15,6.436e-15,29.25e-12,2.19e-9,619.9e-12,70.62e-12,564.5e-3,0,200e-3,200e-3,31.37e-30,75.33e-30,350e-9
60,nom,350e-9,0,200e-3,300e-3,,-4.854e-15,-5.245e-15,6.024e-15,-1.593e-15,-1.17e-15,1.17e-15,3.965e-15,-1.202e-15,1.201e-15,6.447e-15,634.3e-12,46.91e-9,12.97e-9,1.538e-9,564.5e-3,0,200e-3,300e-3,668.6e-30,35.71e-27,350e-9
61,nom,350e-9,0,200e-3,400e-3,,-4.854e-15,-5.251e-15,6.045e-15,-1.518e-15,-1.191e-15,1.191e-15,3.94e-15,-1.232e-15,1.205e-15,6.483e-15,12.31e-9,861.7e-9,232.6e-9,30.09e-9,564.5e-3,0,200e-3,400e-3,12.23e-27,13.47e-24,350e-9
62,nom,350e-9,0,200e-3,500e-3,,-4.855e-15,-5.359e-15,6.056e-15,-1.348e-15,-1.201e-15,1.201e-15,4.29e-15,-1.74e-15,1.208e-15,7.093e-15,178.4e-9,11.11e-6,2.939e-6,443.9e-9,564.5e-3,0,200e-3,500e-3,157.1e-27,2.559e-21,350e-9
63,nom,350e-9,0,200e-3,600e-3,,-4.87e-15,-5.935e-15,6.087e-15,-692.6e-18,-1.216e-15,1.205e-15,6.524e-15,-4.616e-15,1.209e-15,10.5e-15,1.714e-6,78.84e-6,20.57e-6,4.153e-6,564.5e-3,0,200e-3,600e-3,1.116e-24,142.1e-21,350e-9
64,nom,350e-9,0,200e-3,700e-3,,-4.913e-15,-6.129e-15,6.257e-15,-420.2e-18,-1.296e-15,1.208e-15,7.429e-15,-5.712e-15,1.21e-15,11.75e-15,11.14e-6,212.5e-6,54.66e-6,18.62e-6,564.5e-3,0,200e-3,700e-3,3.063e-24,1.456e-18,350e-9
65,nom,350e-9,0,200e-3,800e-3,,-5.028e-15,-6.107e-15,6.92e-15,-326.2e-18,-1.607e-15,1.209e-15,7.706e-15,-5.773e-15,1.211e-15,11.84e-15,54.22e-6,306.4e-6,77.98e-6,45.08e-6,564.6e-3,0,200e-3,800e-3,4.813e-24,4.554e-18,350e-9
66,nom,350e-9,0,200e-3,900e-3,,-5.208e-15,-6.024e-15,8.263e-15,-220.7e-18,-2.237e-15,1.21e-15,8.096e-15,-5.639e-15,1.211e-15,11.95e-15,161.3e-6,335.8e-6,85.66e-6,77.47e-6,564.6e-3,0,200e-3,900e-3,7.02e-24,8.149e-18,350e-9
67,nom,350e-9,0,200e-3,1,,-5.341e-15,-5.919e-15,9.535e-15,-145.5e-18,-2.832e-15,1.211e-15,8.405e-15,-5.427e-15,1.211e-15,12.11e-15,307.6e-6,334.5e-6,86.42e-6,110.9e-6,564.7e-3,0,200e-3,1,9.35e-24,11.41e-18,350e-9
68,nom,350e-9,0,200e-3,1.1,,-5.408e-15,-5.832e-15,10.38e-15,-105.4e-18,-3.227e-15,1.211e-15,8.577e-15,-5.244e-15,1.211e-15,12.24e-15,463.9e-6,324.2e-6,85.24e-6,143.6e-6,564.7e-3,0,200e-3,1.1,11.64e-24,14.18e-18,350e-9
69,nom,350e-9,0,200e-3,1.2,,-5.442e-15,-5.768e-15,10.92e-15,-83.97e-18,-3.479e-15,1.211e-15,8.67e-15,-5.107e-15,1.211e-15,12.34e-15,619.5e-6,311.1e-6,83.47e-6,175e-6,564.8e-3,0,200e-3,1.2,13.86e-24,16.47e-18,350e-9
70,nom,350e-9,0,200e-3,1.3,,-5.459e-15,-5.72e-15,11.28e-15,-71.63e-18,-3.647e-15,1.211e-15,8.724e-15,-5.005e-15,1.211e-15,12.42e-15,771.2e-6,297.2e-6,81.47e-6,205.1e-6,564.9e-3,0,200e-3,1.3,15.99e-24,18.3e-18,350e-9
71,nom,350e-9,0,200e-3,1.4,,-5.469e-15,-5.684e-15,11.53e-15,-63.94e-18,-3.766e-15,1.211e-15,8.757e-15,-4.927e-15,1.212e-15,12.47e-15,917.6e-6,283.2e-6,79.4e-6,233.7e-6,564.9e-3,0,200e-3,1.4,18.03e-24,19.71e-18,350e-9
72,nom,350e-9,0,200e-3,1.5,,-5.475e-15,-5.657e-15,11.71e-15,-58.82e-18,-3.853e-15,1.211e-15,8.778e-15,-4.866e-15,1.212e-15,12.52e-15,1.058e-3,269.3e-6,77.33e-6,260.9e-6,565e-3,0,200e-3,1.5,19.97e-24,20.74e-18,350e-9
73,nom,350e-9,0,200e-3,1.6,,-5.478e-15,-5.634e-15,11.86e-15,-55.22e-18,-3.92e-15,1.212e-15,8.792e-15,-4.818e-15,1.212e-15,12.55e-15,1.193e-3,255.7e-6,75.28e-6,286.7e-6,565e-3,0,200e-3,1.6,21.81e-24,21.43e-18,350e-9
74,nom,350e-9,0,200e-3,1.7,,-5.481e-15,-5.616e-15,11.97e-15,-52.59e-18,-3.972e-15,1.212e-15,8.803e-15,-4.778e-15,1.212e-15,12.58e-15,1.322e-3,242.5e-6,73.27e-6,311.1e-6,565.1e-3,0,200e-3,1.7,23.56e-24,21.8e-18,350e-9
75,nom,350e-9,0,200e-3,1.8,,-5.482e-15,-5.601e-15,12.06e-15,-50.59e-18,-4.014e-15,1.212e-15,8.81e-15,-4.745e-15,1.212e-15,12.6e-15,1.444e-3,229.8e-6,71.31e-6,334.2e-6,565.1e-3,0,200e-3,1.8,25.22e-24,21.91e-18,350e-9
76,nom,350e-9,0,200e-3,1.9,,-5.483e-15,-5.589e-15,12.13e-15,-49.03e-18,-4.049e-15,1.212e-15,8.816e-15,-4.717e-15,1.212e-15,12.62e-15,1.561e-3,217.6e-6,69.4e-6,356.1e-6,565.1e-3,0,200e-3,1.9,26.79e-24,21.77e-18,350e-9
77,nom,350e-9,0,200e-3,2,,-5.484e-15,-5.578e-15,12.2e-15,-47.79e-18,-4.078e-15,1.212e-15,8.82e-15,-4.694e-15,1.212e-15,12.64e-15,1.673e-3,205.9e-6,67.55e-6,376.7e-6,565.2e-3,0,200e-3,2,28.28e-24,21.43e-18,350e-9
78,nom,350e-9,0,200e-3,2.1,,-5.484e-15,-5.569e-15,12.25e-15,-46.78e-18,-4.103e-15,1.212e-15,8.823e-15,-4.673e-15,1.212e-15,12.65e-15,1.778e-3,194.6e-6,65.76e-6,396.2e-6,565.2e-3,0,200e-3,2.1,29.69e-24,20.9e-18,350e-9
79,nom,350e-9,0,200e-3,2.2,,-5.485e-15,-5.561e-15,12.29e-15,-45.95e-18,-4.124e-15,1.212e-15,8.826e-15,-4.655e-15,1.212e-15,12.67e-15,1.879e-3,183.9e-6,64.03e-6,414.6e-6,565.3e-3,0,200e-3,2.2,31.03e-24,20.22e-18,350e-9
80,nom,350e-9,0,200e-3,2.3,,-5.485e-15,-5.554e-15,12.33e-15,-45.25e-18,-4.143e-15,1.212e-15,8.828e-15,-4.64e-15,1.212e-15,12.68e-15,1.974e-3,173.6e-6,62.36e-6,432e-6,565.3e-3,0,200e-3,2.3,32.29e-24,19.4e-18,350e-9
81,nom,350e-9,0,200e-3,2.4,,-5.485e-15,-5.547e-15,12.37e-15,-44.66e-18,-4.159e-15,1.212e-15,8.829e-15,-4.626e-15,1.212e-15,12.69e-15,2.065e-3,163.8e-6,60.74e-6,448.4e-6,565.3e-3,0,200e-3,2.4,33.48e-24,18.46e-18,350e-9
82,nom,350e-9,0,200e-3,2.5,,-5.485e-15,-5.542e-15,12.4e-15,-44.16e-18,-4.173e-15,1.212e-15,8.831e-15,-4.613e-15,1.212e-15,12.7e-15,2.151e-3,154.4e-6,59.18e-6,463.8e-6,565.3e-3,0,200e-3,2.5,34.61e-24,17.44e-18,350e-9
83,nom,350e-9,0,200e-3,2.6,,-5.485e-15,-5.537e-15,12.43e-15,-43.72e-18,-4.186e-15,1.212e-15,8.832e-15,-4.602e-15,1.212e-15,12.7e-15,2.232e-3,145.5e-6,57.67e-6,478.4e-6,565.4e-3,0,200e-3,2.6,35.67e-24,16.33e-18,350e-9
84,nom,350e-9,0,200e-3,2.7,,-5.486e-15,-5.532e-15,12.45e-15,-43.34e-18,-4.197e-15,1.212e-15,8.833e-15,-4.592e-15,1.212e-15,12.71e-15,2.309e-3,137e-6,56.21e-6,492e-6,565.4e-3,0,200e-3,2.7,36.67e-24,15.17e-18,350e-9
85,nom,350e-9,0,300e-3,0,,-4.699e-15,-5.245e-15,5.671e-15,-1.88e-15,-971.5e-18,971.5e-18,3.984e-15,-1.132e-15,1.132e-15,6.377e-15,50.81e-15,4.537e-12,1.343e-12,145.7e-15,564.4e-3,0,300e-3,0,65.54e-33,321.3e-36,350e-9
86,nom,350e-9,0,300e-3,100e-3,,-4.699e-15,-5.245e-15,5.72e-15,-1.768e-15,-1.021e-15,1.021e-15,3.959e-15,-1.17e-15,1.17e-15,6.415e-15,1.139e-12,102e-12,29.49e-12,3.277e-12,564.4e-3,0,300e-3,100e-3,1.466e-30,162.6e-33,350e-9
87,nom,350e-9,0,300e-3,200e-3,,-4.699e-15,-5.245e-15,5.777e-15,-1.674e-15,-1.078e-15,1.078e-15,3.943e-15,-1.191e-15,1.191e-15,6.436e-15,25.36e-12,2.273e-9,641.9e-12,73.3e-12,564.4e-3,0,300e-3,200e-3,32.49e-30,81.32e-30,350e-9
88,nom,350e-9,0,300e-3,300e-3,,-4.699e-15,-5.245e-15,5.831e-15,-1.593e-15,-1.132e-15,1.132e-15,3.927e-15,-1.202e-15,1.201e-15,6.447e-15,549.5e-12,48.67e-9,13.42e-9,1.596e-9,564.4e-3,0,300e-3,300e-3,692.3e-30,38.53e-27,350e-9
